codigo,descricao,gtin,preco,estoque
543556,BISC SWEET JASMINE 75G SOU CHOCO,7896283006524,6.99,6000
543565,BISC KLAIN 250G BROA AMENDOIM,7898963777823,7.99,8000
543633,BISC KLAIN 240G,7898963777939,6.99,55000
543789,BISC BONO 120G C/ COBERTURA 543789,7891000321164,6.99,3000
543791,BISC NEGRESCO 120G C/ COBERTURA 543791,7891000290026,6.99,2000
543804,BISC MARILAN AMANTEIGADO 280G CHO 543804,7896003738940,9.9,68000
543927,BISC MARILAN AMANTEIGADO 280G LEITE,7896003738902,9.9,53000
543945,BISC MARILAN TORTINHAS 300G BAUNILHA,7896003738841,7.99,0
544040,BISC RECH ISABELA MOUSSE 130G CHOC AMARG,7896022086350,3.99,13000
544129,BISC PANDA KIDS 100G BAUN CACAU,7896256065954,16.9,5000
544132,BISC PANDA KIDS 100G DC LEITE,7896256065411,16.9,6000
544133,BISC BICHINHOS KIDS 80G,7896256065404,16.9,3000
544180,BISC ISABELA TORTINHAS 140G DC LEITE,7896022086695,2.99,225000
544206,BISC KLAIN 260G PAO MEL C/CHOC BCO,7898963777816,9.49,17000
544309,BISC KLAIN 260G PAO MEL C/CHOC MENTA,7898963777878,9.49,8000
544343,BISC CLUB SOCIAL 141G CEBOLA SOUR CREAM,7622210568816,6.49,665000
544981,BISC RECH ISABELA MOUSSE 130G DC LEITE,7896022086688,2.99,102000
545100,BISC KLAIN 180G MIGNON TRAD,7898963777571,7.99,11000
545269,BISC MARILAN 300G C CRACKER,7896003739152,8.99,0
545324,ALFAJOR PREMIUM DEL VOVO 400G,7898129611015,23.9,41000
545544,BISC BONO FININHHO 57G CHOCO,7891000304877,2.49,56000
545557,COOKIES NESTLE 60G ALPINO 545557,7891000350119,3.99,22000
545558,COOKIES NESTLE 60G GALAK,7891000350072,3.99,62000
545841,BISC RECH TORTISSIMAS 130G CHOC SUICO,7896412851452,3.69,42000
545993,BISC JASMINE SOU SWEET 75G CACAU CER,7896283007415,6.99,9000
545996,BISC LOWCUCAR ROSQUINHA 150G CHOC,7896292070080,11.9,1000
545997,BISC LOWCUCAR ROSQUINHA 150G LEITE,7896292070073,11.9,4000
545999,BISC JASMINE SOU SWEET 75G BANANA AVEIA,7896283007392,6.99,6000
546016,BISC DOMELLY 280G ROSCA CLACEADO,7898088103057,4.99,166000
546019,BISC DOMELLY 560G SORTIDOS,7898088102111,8.99,89000
546020,BISC DOMELLY 280G SORTIDOS,7898088105006,4.99,522000
546021,BISC DOMELLY 300G PAO MEL CHOC,7898088103026,5.99,1000
546042,BISC DOMELLY 250G PAO MEL TRAD,7898088103064,4.99,441000
546052,BISC BAUDUCCO PAO DE MEL 240G,7891962047379,12.9,0
546080,BISC RECH OREO 270G,7622210565938,14.9,217000
546115,BISC ISABELA 350G MAIZENA,7896022086787,7.99,9000
546116,BISC ISABELA INTEGRAL 350G,7896022086794,8.59,79000
546117,BISC ISABELA 320G COQUETEL,7896022086800,9.9,32000
546118,BISC ISABELA 350G KUKI,7896022086817,10.9,26000
546119,BISC ISABELA 350G CRAKER GERGELIM,7896022086824,8.99,87000
546120,BISC ISABELA 350G LEITE,7896022086831,7.99,46000
546121,BISC ISABELA 350G LEITE CHOC,7896022086855,7.99,56000
546122,BISC ISABELA 350G AGUA SAL,7896022086862,7.49,159000
546123,BISC ISABELA 350G MARIA TRAD,7896022086886,7.99,283000
546124,BISC ISABELA 350G PIC NIC,7896022086879,9.9,65000
546125,BISC ISABELA 350G MARIA CHOC,7896022086893,7.99,418000
546126,BISC ISABELA 350G C.CRACKER,7896022086909,7.49,108000
546354,BISC BICHINHOS KIDS 80G MORANGO,7896256066210,14.9,2000
546355,BISC BICHINHOS KIDS 80G BEIJINHO,7896256066227,14.9,3000
546466,BISC FIT FOOD 60G CH AMARGO,7898649351811,13.9,0
546494,WAFER ISABELA 100G DOCE LEITE,7896022086701,2.79,624000
546537,BISC RECH SAPECA 110G MORANGO,7898045277203,2.49,0
546538,BISC RECH SAPECA 110G CHOC,7898045278873,2.49,0
546542,CHOC STICK SONHO VALSA 25G,7622210570086,3.49,1
1 MERCADO FROZZA E FERNANDES LTDA - MT,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
TABELA DA LISTA DE PREÇO 1 / 1 / 1,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
Estado:  RIO GRANDE DO SUL  Valida até: 11/01/2026,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
546553,WAFER ORQUIDEA 100G BROWNIE,7896412851605,3.19,28000
546554,WAFER ORQUIDEA 100G BRIGADEIRO,7896412851599,3.19,81000
546555,WAFER ORQUIDEA 100G NOZES,7896412851490,3.19,1000
546638,BISC RECH TORTUGUITA 130G CHOCOLATE,7896058200485,2.99,0
546679,BISC BECKER 280G PALITO SALGADO,7898969969048,9.9,0
546869,BISC NEGRESCO FININHO 57G ORIG,7891000357972,2.49,4000
546877,BISC PASSATEMPO 170G MAISENA,7891000365335,4.79,37000
